Date,States,Usage,DayOfYear,Month,DayOfWeek,Season,State_Encoded
2019-01-02,Andhra Pradesh,164.6,2,1,2,0,0
2019-01-02,Arunachal Pradesh,2.1,2,1,2,0,1
2019-01-02,Assam,21.7,2,1,2,0,2
2019-01-02,Bihar,82.3,2,1,2,0,3
2019-01-02,Chandigarh,5.0,2,1,2,0,4
2019-01-02,Chhattisgarh,78.7,2,1,2,0,5
2019-01-02,DNH,18.6,2,1,2,0,6
2019-01-02,Delhi,85.8,2,1,2,0,7
2019-01-02,Goa,12.8,2,1,2,0,8
2019-01-02,Gujarat,319.5,2,1,2,0,9
2019-01-02,HP,30.0,2,1,2,0,10
2019-01-02,Haryana,130.3,2,1,2,0,11
2019-01-02,J&K,52.5,2,1,2,0,12
2019-01-02,Jharkhand,24.8,2,1,2,0,13
2019-01-02,Karnataka,206.3,2,1,2,0,14
2019-01-02,Kerala,72.7,2,1,2,0,15
2019-01-02,MP,253.0,2,1,2,0,16
2019-01-02,Maharashtra,428.6,2,1,2,0,17
2019-01-02,Manipur,2.7,2,1,2,0,18
2019-01-02,Meghalaya,6.1,2,1,2,0,19
2019-01-02,Mizoram,1.9,2,1,2,0,20
2019-01-02,Nagaland,2.2,2,1,2,0,21
2019-01-02,Odisha,70.2,2,1,2,0,22
2019-01-02,Pondy,6.3,2,1,2,0,23
2019-01-02,Punjab,119.9,2,1,2,0,24
2019-01-02,Rajasthan,234.1,2,1,2,0,25
2019-01-02,Sikkim,2.0,2,1,2,0,26
2019-01-02,Tamil Nadu,268.3,2,1,2,0,27
2019-01-02,Telangana,204.2,2,1,2,0,28
2019-01-02,Tripura,3.4,2,1,2,0,29
2019-01-02,UP,313.9,2,1,2,0,30
2019-01-02,Uttarakhand,40.7,2,1,2,0,31
2019-01-02,West Bengal,108.2,2,1,2,0,32
2019-01-03,Andhra Pradesh,170.1,3,1,3,0,0
2019-01-03,Arunachal Pradesh,2.2,3,1,3,0,1
2019-01-03,Assam,23.4,3,1,3,0,2
2019-01-03,Bihar,82.0,3,1,3,0,3
2019-01-03,Chandigarh,4.9,3,1,3,0,4
2019-01-03,Chhattisgarh,78.8,3,1,3,0,5
2019-01-03,DNH,18.2,3,1,3,0,6
2019-01-03,Delhi,85.5,3,1,3,0,7
2019-01-03,Goa,13.7,3,1,3,0,8
2019-01-03,Gujarat,316.7,3,1,3,0,9
2019-01-03,HP,30.1,3,1,3,0,10
2019-01-03,Haryana,133.5,3,1,3,0,11
2019-01-03,J&K,54.1,3,1,3,0,12
2019-01-03,Jharkhand,25.6,3,1,3,0,13
2019-01-03,Karnataka,212.2,3,1,3,0,14
2019-01-03,Kerala,73.6,3,1,3,0,15
2019-01-03,MP,253.6,3,1,3,0,16
2019-01-03,Maharashtra,419.6,3,1,3,0,17
2019-01-03,Manipur,2.4,3,1,3,0,18
2019-01-03,Meghalaya,6.5,3,1,3,0,19
2019-01-03,Mizoram,1.8,3,1,3,0,20
2019-01-03,Nagaland,2.2,3,1,3,0,21
2019-01-03,Odisha,67.9,3,1,3,0,22
2019-01-03,Pondy,6.5,3,1,3,0,23
2019-01-03,Punjab,121.9,3,1,3,0,24
2019-01-03,Rajasthan,240.2,3,1,3,0,25
2019-01-03,Sikkim,1.9,3,1,3,0,26
